brand,category,gender,image_url,original_price,price,sku,title,url,variants
UGG,Footwear,Women,https://asset.snipes.com/images/02346131_1/ugg-classic-mini-dipper-marrone-33070,189.99,150.0,1168170-CHE,Classic Mini Dipper,https://www.snipes.com/it-it/p/ugg-classic-mini-dipper-marrone-33070,"{'36': {'availability': False, 'price': 150.0}, '37': {'availability': False, 'price': 150.0}, '38': {'availability': True, 'price': 150.0}, '39': {'availability': True, 'price': 150.0}, '40': {'availability': True, 'price': 150.0}, '41': {'availability': True, 'price': 150.0}}"
Dr. Martens,Footwear,Women,https://asset.snipes.com/images/02514476_1/dr_-martens-sinclair-black-milled-nappa-rosso-85909,229.99,229.99,25233600,Sinclair black milled nappa,https://www.snipes.com/it-it/p/dr_-martens-sinclair-black-milled-nappa-rosso-85909,"{'36': {'availability': True, 'price': 229.99}, '37': {'availability': True, 'price': 229.99}, '38': {'availability': True, 'price': 229.99}, '39': {'availability': True, 'price': 229.99}, '40': {'availability': True, 'price': 229.99}, '41': {'availability': True, 'price': 229.99}}"
Converse,Footwear,Women,https://asset.snipes.com/images/02466946_1/converse-chuck-taylor-all-star-multicolore-47017,79.99,40.0,A15809C,Chuck Taylor All Star,https://www.snipes.com/it-it/p/converse-chuck-taylor-all-star-multicolore-47017,"{'36.5': {'availability': True, 'price': 40.0}, '37': {'availability': True, 'price': 40.0}, '37.5': {'availability': True, 'price': 40.0}, '38': {'availability': True, 'price': 40.0}, '39': {'availability': True, 'price': 40.0}, '39.5': {'availability': True, 'price': 40.0}, '40': {'availability': False, 'price': 40.0}, '41': {'availability': True, 'price': 40.0}, '41.5': {'availability': True, 'price': 40.0}}"
Moon Boot,Footwear,Women,https://asset.snipes.com/images/02559699_1/moon-boot-teddy-slipper-marrone-95447,124.99,124.99,80D2410040-M008,Teddy Slipper,https://www.snipes.com/it-it/p/moon-boot-teddy-slipper-marrone-95447,"{'36': {'availability': True, 'price': 124.99}, '37': {'availability': True, 'price': 124.99}, '38': {'availability': True, 'price': 124.99}, '39': {'availability': True, 'price': 124.99}, '40': {'availability': True, 'price': 124.99}, '41': {'availability': True, 'price': 124.99}}"
Nike,Footwear,Women,https://asset.snipes.com/images/02396469_1/nike-air-max-dn-amd-gs-verde-42502,159.99,90.0,HV5258-001,Air Max Dn AMD (GS),https://www.snipes.com/it-it/p/nike-air-max-dn-amd-gs-verde-42502,"{'36': {'availability': False, 'price': 90.0}, '36.5': {'availability': False, 'price': 90.0}, '37.5': {'availability': True, 'price': 90.0}, '38': {'availability': True, 'price': 90.0}, '38.5': {'availability': True, 'price': 90.0}, '39': {'availability': False, 'price': 90.0}, '40': {'availability': True, 'price': 90.0}}"
adidas Originals,Footwear,Women,https://asset.snipes.com/images/02387577_1/adidas-originals-sneaker-megaride-bianco-41565,169.99,90.0,JH5523,Sneaker Megaride,https://www.snipes.com/it-it/p/adidas-originals-sneaker-megaride-bianco-41565,"{'36.666': {'availability': True, 'price': 90.0}, '37.333': {'availability': True, 'price': 90.0}, '38': {'availability': True, 'price': 90.0}, '38.666': {'availability': True, 'price': 90.0}, '39.333': {'availability': True, 'price': 90.0}, '40': {'availability': True, 'price': 90.0}, '40.666': {'availability': False, 'price': 90.0}}"
adidas Originals,Footwear,Women,https://asset.snipes.com/images/02483897_1/adidas-originals-adilette-lumia-badelatschen-beige-47936,34.99,34.99,JP9578,Adilette Lumia Badelatschen,https://www.snipes.com/it-it/p/adidas-originals-adilette-lumia-badelatschen-beige-47936,"{'37': {'availability': False, 'price': 34.99}, '38': {'availability': True, 'price': 34.99}, '39': {'availability': True, 'price': 34.99}, '40.5': {'availability': True, 'price': 34.99}, '42': {'availability': True, 'price': 34.99}, '43': {'availability': False, 'price': 34.99}}"
Jordan,Apparel,Kids,https://asset.snipes.com/images/02522496_1/jordan-jumpman-club-pleated-fleece-nero-91571,54.99,30.0,45F410-G0T,Jumpman Club Pleated Fleece,https://www.snipes.com/it-it/p/jordan-jumpman-club-pleated-fleece-nero-91571,"{'122-128': {'availability': False, 'price': 30.0}, '128-140': {'availability': True, 'price': 30.0}, '140-155': {'availability': False, 'price': 30.0}, '155-159': {'availability': False, 'price': 30.0}}"
Jordan,Apparel,Kids,https://asset.snipes.com/images/02489411_1/jordan-mj-brooklyn-puffer-jacket-beige-48416,99.99,60.0,95F014-X0L,MJ Brooklyn Puffer Jacket,https://www.snipes.com/it-it/p/jordan-mj-brooklyn-puffer-jacket-beige-48416,"{'128-132': {'availability': True, 'price': 60.0}, '132-147': {'availability': False, 'price': 60.0}, '147-163': {'availability': False, 'price': 60.0}, '163-175': {'availability': False, 'price': 60.0}}"
Jordan,Apparel,Kids,https://asset.snipes.com/images/01966491_1/jordan-essentials-pullover-nero-2357,49.99,25.0,95C551-023,Essentials Pullover,https://www.snipes.com/it-it/p/jordan-essentials-pullover-nero-2357,"{'128': {'availability': True, 'price': 25.0}, '128-132': {'availability': False, 'price': 49.99}, '132-147': {'availability': False, 'price': 49.99}, '137': {'availability': True, 'price': 25.0}, '147': {'availability': False, 'price': 25.0}, '147-163': {'availability': False, 'price': 49.99}, '158': {'availability': False, 'price': 25.0}, '163-175': {'availability': False, 'price': 49.99}, '170': {'availability': True, 'price': 25.0}, 'S': {'availability': False, 'price': 25.0}, 'M': {'availability': False, 'price': 25.0}, 'L': {'availability': False, 'price': 25.0}, 'XL': {'availability': False, 'price': 25.0}}"
Karl Kani,Apparel,Kids,https://asset.snipes.com/images/02511809_1/karl-kani-og-teddy-zip-jacket-junior-nero-61420,69.99,30.0,KC253-009-1,Og Teddy Zip Jacket Junior,https://www.snipes.com/it-it/p/karl-kani-og-teddy-zip-jacket-junior-nero-61420,"{'110/116': {'availability': True, 'price': 30.0}, '122/128': {'availability': False, 'price': 30.0}, '134/140': {'availability': False, 'price': 30.0}, '146/152': {'availability': False, 'price': 30.0}, '158/164': {'availability': False, 'price': 30.0}}"
Jordan,Apparel,Kids,https://asset.snipes.com/images/01966442_1/jordan-essentials-pant-nero-2355,44.99,30.0,9BD234-023,Essentials Pant,https://www.snipes.com/it-it/p/jordan-essentials-pant-nero-2355,"{'128': {'availability': True, 'price': 30.0}, '128-132': {'availability': False, 'price': 44.99}, '132-147': {'availability': False, 'price': 44.99}, '137': {'availability': False, 'price': 30.0}, '147': {'availability': False, 'price': 30.0}, '147-163': {'availability': False, 'price': 44.99}, '158': {'availability': False, 'price': 30.0}, '163-175': {'availability': False, 'price': 44.99}, '170': {'availability': False, 'price': 30.0}, 'S': {'availability': True, 'price': 30.0}, 'M': {'availability': False, 'price': 30.0}, 'L': {'availability': False, 'price': 30.0}, 'XL': {'availability': False, 'price': 30.0}}"
Jordan,Apparel,Kids,https://asset.snipes.com/images/02502902_1/jordan-gamma-24-retro-nero-49407,27.99,27.99,95F509-023,Gamma '24 Retro,https://www.snipes.com/it-it/p/jordan-gamma-24-retro-nero-49407,"{'128-132': {'availability': False, 'price': 27.99}, '132-147': {'availability': True, 'price': 27.99}, '147-163': {'availability': False, 'price': 27.99}, '163-175': {'availability': False, 'price': 27.99}}"
adidas Originals,Apparel,Kids,https://asset.snipes.com/images/02392022_1/adidas-originals-superstar-track-jacket-nero-42025,49.99,30.0,IX7628,Superstar Track Jacket,https://www.snipes.com/it-it/p/adidas-originals-superstar-track-jacket-nero-42025,"{'134': {'availability': False, 'price': 30.0}, '140': {'availability': True, 'price': 30.0}, '152': {'availability': False, 'price': 30.0}, '158': {'availability': False, 'price': 30.0}, '164': {'availability': False, 'price': 30.0}, '170': {'availability': False, 'price': 30.0}, '176': {'availability': True, 'price': 30.0}}"
