brand,category,gender,image_url,original_price,price,sku,title,url,variants
Nike,Apparel,Kids,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/b1c76c8b-73f0-4b83-a87d-5b9f0f0eff7e/JDG+BLUE+JEANS%26BLING+WOVEN+PNT.png",54.99,54.99,IO2484-010,Jordan Blue Jeans and Bling,https://www.nike.com/it/t/pantaloni-in-tessuto-jordan-blue-jeans-and-bling-a-SPayoMpu/IO2484-010,"{'XS': {'availability': False, 'price': 54.99}, 'S': {'availability': True, 'price': 54.99}, 'M': {'availability': True, 'price': 54.99}, 'L': {'availability': True, 'price': 54.99}, 'XL': {'availability': True, 'price': 54.99}}"
Nike,Apparel,Kids,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/351c61cf-6218-4e6c-b419-40338c23341b/JDB+MJ+PSG+DIAMONDSHORT.png",49.99,49.99,IQ5944-060,Jordan Paris Saint-Germain,https://www.nike.com/it/t/shorts-dri-fit-diamond-jordan-paris-saint-germain-a-MD5yzDkc/IQ5944-060,"{'XS': {'availability': False, 'price': 49.99}, 'S': {'availability': True, 'price': 49.99}, 'M': {'availability': True, 'price': 49.99}, 'L': {'availability': True, 'price': 49.99}, 'XL': {'availability': True, 'price': 49.99}}"
Nike,Apparel,Kids,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/b267b47a-8dd1-45a1-9109-5c86de84aba3/JDN+JORDAN+ARCHED+TRICOT+SET.png",54.99,54.99,HV7829-480,Jordan,https://www.nike.com/it/t/completo-in-tricot-in-2-pezzi-arched-jordan-jordan-QxJnlF/HV7829-480,"{'12M': {'availability': True, 'price': 54.99}, '18M': {'availability': True, 'price': 54.99}, '24M': {'availability': True, 'price': 54.99}}"
Nike,Apparel,Kids,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/679c6793-87a4-4d44-9063-d6093aee3dee/JDB+WINGS.png",27.99,27.99,IQ5948-010,Jordan,https://www.nike.com/it/t/t-shirt-wings-jordan-a-Ai2FEXWh/IQ5948-010,"{'XS': {'availability': False, 'price': 27.99}, 'S': {'availability': True, 'price': 27.99}, 'M': {'availability': True, 'price': 27.99}, 'L': {'availability': True, 'price': 27.99}, 'XL': {'availability': True, 'price': 27.99}}"
Nike,Apparel,Kids,https://static.nike.com/a/images/t_default/32504955-6e63-4624-b15a-0349aa657722/PSG+YNK+DF+ACDPR+ANTHMJKT+K+3R.png,74.99,74.99,HM6526-405,Paris Saint-Germain Academy Pro – Terza,https://www.nike.com/it/t/giacca-anthem-da-calcio-dri-fit-total-90-paris-saint-germain-academy-pro-per-a-terza-oXKsRCXa/HM6526-405,"{'XS': {'availability': True, 'price': 74.99}, 'S': {'availability': True, 'price': 74.99}, 'M': {'availability': True, 'price': 74.99}, 'L': {'availability': True, 'price': 74.99}, 'XL': {'availability': True, 'price': 74.99}}"
Nike,Apparel,Kids,https://static.nike.com/a/images/t_default/35d52956-73c1-40ca-8dd7-10174a0a2f76/G+NSW+TEE+SHINE.png,27.99,27.99,IF2109-010,Nike Sportswear,https://www.nike.com/it/t/t-shirt-sportswear-NaFptI2F/IF2109-010,"{'XS': {'availability': True, 'price': 27.99}, 'S': {'availability': False, 'price': 27.99}, 'M': {'availability': False, 'price': 27.99}, 'L': {'availability': False, 'price': 27.99}, 'XL': {'availability': True, 'price': 27.99}}"
Nike,Apparel,Kids,https://static.nike.com/a/images/t_default/2a115b3c-cbcc-4c19-959c-c068286d5d12/G+NSW+CLUB+FLC+LSE+PNT+GFX.png,47.99,47.99,IF1728-057,Nike Sportswear Club Fleece,https://www.nike.com/it/t/pantaloni-ampi-con-grafica-sportswear-club-fleece-bambina-9usTgfTa/IF1728-057,"{'XS': {'availability': True, 'price': 47.99}, 'S': {'availability': True, 'price': 47.99}, 'M': {'availability': True, 'price': 47.99}, 'L': {'availability': True, 'price': 47.99}, 'XL': {'availability': True, 'price': 47.99}}"
Nike,Apparel,Kids,https://static.nike.com/a/images/t_default/70bca28d-d75c-4c3c-8396-20c063262052/K+NK+TF+LS+HZ+TOP+WARM.png,47.99,47.99,HV0197-010,Nike,https://www.nike.com/it/t/maglia-con-zip-a-1-4-a-9r3Xnv/HV0197-010,"{'XS': {'availability': True, 'price': 47.99}, 'S': {'availability': True, 'price': 47.99}, 'M': {'availability': True, 'price': 47.99}, 'L': {'availability': True, 'price': 47.99}, 'XL': {'availability': False, 'price': 47.99}}"
Nike,Apparel,Kids,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/773a9e9f-016c-4421-b66a-05169c386092/MINI+ME+FLIGHT+BIKE+SHORT+SET.png",39.99,39.99,HJ2141-664,Jordan Mini Me,https://www.nike.com/it/t/completo-con-shorts-da-ciclista-jordan-mini-me-a-zTV9qq/HJ2141-664,"{'4': {'availability': True, 'price': 39.99}, '5': {'availability': False, 'price': 39.99}, '6': {'availability': True, 'price': 39.99}, '6X': {'availability': True, 'price': 39.99}}"
Nike,Apparel,Kids,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/a0ecfa98-e033-4636-bdd1-41039d3056f8/JDB+AIR+JORDAN+COMICS+DUNK+SS.png",24.99,24.99,HQ7110-010,Air Jordan,https://www.nike.com/it/t/t-shirt-dunk-comics-air-jordan-a-6hCrWZ/HQ7110-010,"{'XS': {'availability': False, 'price': 24.99}, 'S': {'availability': False, 'price': 24.99}, 'M': {'availability': False, 'price': 24.99}, 'L': {'availability': True, 'price': 24.99}, 'XL': {'availability': False, 'price': 24.99}}"
